"lon","lat","Име","Адрес"
"25.097557","43.034752","Eko Севлиево","Севлиево, ул. Бял бряг №2 (до Идеал стандарт)"
"25.641500","42.404499","Eko Стара Загора - ЮГ","Стара Загора, бул. Патрирах Евтимий №19А"
"23.354200","41.398800","Eko Кулата","Чучулигово, път Е-79, посока Кулата"
"26.211700","41.760899","Eko Свиленград","Свиленград, бул. България №137А"
"24.775299","42.149601","Eko Пловдив - Цариградско шосе","Пловдив, бул. Цариградско Шосе №5А"
"23.747700","41.573502","Eko Гоце Делчев","Гоце Делчев, УПИ VII - 4231 от кв. 188"
"23.274473","42.751862","Eko София – Ломско Шосе","София, бул. Ломско шосе №136"
"23.367201","42.678001","Eko София – Шипченски проход","София, бул. Шипченски  проход (пред завод Електроника)"
"23.124399","42.284599","Eko Дупница","Дупница, ул. Софийско шосе №1"
"25.970800","43.831699","Eko Русе","Русе, бул. Хр. Ботев №40"
"23.242901","43.402500","Eko Монтана","Монтана, път Е-79, посока Враца"
"22.703400","42.293800","Eko Кюстендил","Кюстендил, ул. Николичевски път №2 (до завод Велбъжд)"
"27.993900","43.224400","Eko Варна - Първа","Варна, ул. Първа №87 (срещу Евkсиноград)"
"23.260500","42.663799","Eko София – Цар Борис III","София, бул. Никола Петков"
"23.098846","41.997883","Eko Благоевград","Благоевград, бул. Пейо Яворов №2 (х-л Езерец)"
"23.358000","42.704399","Eko София - Владимир Вазов","София, бул. Владимир Вазов 26 (при ул. Велека)"
"23.412376","42.645107","Eko София - Дружба II","София, ул. Димитър Пешев"
"24.723534","42.166420","Eko Пловдив - В. Априлов","Пловдив, бул. Васил Априлов №156Б"
"23.305599","42.659199","Eko София - Сребърна","София, ул. Сребърна"
"27.907301","43.199699","Eko Варна - Порт","Варна, ул. Девня"
"24.763300","42.160301","Eko Пловдив - България","Пловдив, бул. България №2 (до Панаира)"
"23.485600","41.844299","Eko Банско","Банско, ул. Никола Голев 3-7 (пътя за Гоце Делчев)"
"24.621099","43.396999","Eko Плевен","Плевен, бул. Христо Ботев"
"23.296200","42.697498","Eko София – Константин Величков","София, бул. К. Величков и ул. Д-р Каликов"
"25.555479","41.944870","Eko Хасково - Димитровградско шосе","Хасково, ул. Димитровградско шосе (изход София)"
"24.690001","42.131001","Eko Пловдив - Пещерско шосе","Пловдив, бул. Пещерско шосе №156"
"27.897100","43.221100","Eko Варна - Сливница","Варна, бул. Сливница №189"
"27.656799","42.648201","Eko Ахелой","Ахелой, Главен път Бургас – Варна, изхода за Слънчев Бряг"
"24.759100","42.112099","Eko Пловдив - Кукленско шосе","Пловдив, ул. Кукленско шосе"
"27.871099","43.222801","Eko Варна - Варненчик","Варна, бул. Владислав Варненчик"
"23.468399","42.706902","Eko София – Долни Богров","София, с. Долни Богров"
"22.526501","43.896099","Eko Кула","Кула, ул. Толбухин №4"
"23.084276","42.603600","Eko Перник Стомана","Перник, ул. Скоростна магистрала"
"23.368200","42.667801","Eko София - Младост","София, бул. Цариградско шосе (кръговото на 4-и км)"
"23.172300","41.710201","Eko Кресна","Кресна, път Е-79, посока София - Кулата"
"25.692499","43.136200","Eko Горна Оряховица","Горна Оряховица, ул. Васил Левски №23"
"25.623899","43.072399","Eko Велико Търново - Вход","Велико Търново, ул. Магистрална (срещу завод Победа)"
"27.437901","42.480801","Eko Бургас","Бургас, Индустриална зона (вход Созопол)"
"23.442301","42.753899","Eko София - Чепинци","София, Чепинци, Околовръстен път"
"23.316212","42.651318","Eko София – Черни връх","София, кв. Лозенец, бул. Черни връх (преди Околовръстен път)"
"26.943501","43.262199","Eko Шумен - Ришки проход","Шумен, бул. Ришки проход №25 (срещу митницата)"
"23.263000","42.714901","Eko София - Царица Йоана","София, бул. Царица Йоана (Люлин 7)"
"23.058599","42.608299","Eko Перник","Перник, бул. Юрий Гагарин"
"23.308399","42.680698","Eko София - България","София, бул. България и ул. Д-р Стефан Сарафов"
"27.940701","43.219799","Eko Варна - Чайка","Варна, бул. Васил Левски (под стадион Чайка)"
"24.321800","42.204102","Eko Пазарджик","Пазарджик, околовръстен път"
"24.609501","43.421501","Eko Плевен - Мизия","Плевен, ул. Българска авиация №2 (след подлеза)"
"25.605700","43.074501","Eko Велико Търново - Изход","Велико Търново, ул. Магистрална №28"
"23.368500","42.699600","Eko София – Ботевградско шосе","София, бул. Ботевградско шосе"
"23.083349","42.015076","Eko Благоевград - Център","Благоевград, бул. Свети Димитър Солунски"
"23.279766","42.720280","Eko София - Орион","София, ул. Адам Мицкевич №1 (модерно предградие)"
"24.731707","42.132954","Eko Пловдив - Ботев","Пловдив, ул. Сергей Румянцев №8"
"23.668074","42.560902","Eko Ихтиман","АМ Тракия, 21ви км"
"23.227600","42.654499","Eko София - Княжево","София, бул. Цар Борис III №362"
"25.601294","42.415066","Eko Стара Загора","Стара Загора, кв. Железник"
"27.442301","42.482399","Eko Бургас - Акациите","Бургас, ул. Индустриална №33"
"24.736000","42.118999","Eko Пловдив - Бялата воденица","Пловдив, бул. Ал. Стамболийски и ул. Д. Талев"
"26.948099","43.276501","Eko Шумен - Симеон Велики","Шумен, бул. Симеон Велики №16А"
"23.335800","42.710499","Eko София - Каменоделска","София, ул. Каменоделска"
"23.345900","42.628502","Eko София - Малинова долина","София, ул. Околовръстен път"
"26.319401","42.676102","Eko Сливен","Сливен, бул. Братя Миладинови и  бул. Цар Симеон"
"23.349339","42.710541","Eko София - Резбарска","София, ул. Резбарска и ул. Никола Войноски"
"27.226500","43.300201","Shell 9012 Енево Север","АМ Хемус, km 366+300 (посока Варна-София)"
"25.570400","41.999599","Gazprom Хасково 5km","Хасково, на пътя Хасково-Димитровград"
"23.379601","42.661900","Shell 3022 София Средец","София, бул. Цариградско шосе"
"27.234200","42.705002","Shell 2004 Айтос","Айтос, път 6/E773"
"23.327900","42.714298","Shell 5003 София Надежда","София, ул. 202-ра №4"
"27.883801","43.219601","Shell 3010 Варна","Варна, ул. Академик Курчатов №1"
"23.811399","42.919998","Shell 9006 Ботевград","Ботевград, път 17, km 2+825 дясно"
"23.075708","42.611301","Shell 3003 Перник","Перник, бул. Юрий Гагарин"
"23.348000","42.660000","Shell 3036 София Дианабад","София, бул. Г. М. Димитров"
"24.730801","42.154999","Gazprom Васил Априлов","Пловдив, бул. Васил Априлов №95А"
"25.550501","41.966900","Shell 9700 Хасково Аида","Хасково, път 8, км 298+400 (преди разклона за Хасково)"
"25.317329","42.882797","Shell 3008 Габрово","Габрово, ул. Брянска 29А"
"26.265715","43.108040","Shell 6010 Kьосевци Изток","Кьосевци, път 4, km 191+420 дясно"
"23.320801","42.638802","Shell 2008 София Симеоново","София, Околовръстен път, km 46+717"
"23.250401","42.674099","Shell 5004 София Овча Купел","София, ул. Бойчо Бойчев 4"
"26.923000","43.314999","Shell 6008 Шумен 7км","Шумен, път 2, km 112+737 дясно"
"24.757441","42.133003","Petrol 5154","Пловдив, ул. Найчо Цанов (надлез Родопи)"
"27.955500","43.215599","Shell 3038 Варна Почивка","Варна, бул. Княз Борис №23"
"26.342300","41.719002","Shell 6004 Капитан Андреево","Капитан Андреево, ГКПП Капитан Андреево"
"22.869101","43.975101","Shell 3005 Видин","Видин, ул. Цар Александър II"
"27.229099","43.297001","Shell 9013 Енево Юг","АМ Хемус, km 366+840 (посока София-Варна)"
"22.703300","42.285099","Shell 2011 Кюстендил","Кюстендил, бул. Цар Освободител"
"23.306000","42.706299","Shell 5002 София Сливница","София, бул. Сливница"
"24.780300","42.148399","Shell 3030 Мария Луиза","Пловдив, бул. Цариградско шосе №90А"
"23.239100","43.407101","Shell 2002 Монтана","Монтана, ул. Диана"
"27.903200","43.201599","Shell 3016 Варна Одесос","Варна, ул. Девня №4"
"24.609140","43.418644","Shell 3025 Плевен Център","Плевен, на кръговото"
"23.368299","42.709099","Shell 6012 София Герена","София, бул. Владимир Вазов 15А"
"24.733299","42.206902","Gazprom Карловско шосе","Пловдив, бул. Карловско шосе №38"
"25.457207","42.971565","Shell 9010 Дряново","Дряново, гл. път Габрово - Велико Търново"
"25.376900","41.621300","Gazprom Кърджали","Кърджали, ул. 1-ви май №28 (кв. Веселчани)"
"22.846300","42.992901","Shell 2012 Калотина","Калотина, E80 кm 1"
"27.878500","43.227600","Shell 3032 Варна Република","Варна, бул. Сливница и бул. Република"
"23.253700","42.719002","Shell 3028 София Люлин Център","София, ж.к. Люлин"
"24.785200","42.142601","Gazprom Санкт Петербург","Пловдив, бул. Санкт Петербург №48"
"24.308001","42.265099","Shell 4001 Пазарджик Север","АМ Тракия, посока Бургас-София, km 89+400"
"24.763821","42.153797","Shell 3013 Пловдив Марица","Пловдив, бул. 6-ти Септември (бул. Източен)"
"25.561199","41.917000","Shell 2006 Хасково","Хасково, бул. Освобождения №108"
"26.529200","42.455898","Shell 9008 Ямбол Тунджа","Ямбол, до централни ямболски гробища"
"25.405399","42.618599","Shell 3021 Казанлък","Казанлък, бул. Княз Александър Батенберг №40"
"23.251699","42.733002","Shell 2009 София Европа","София, бул. Европа №138"
"24.239401","42.928299","Shell 9001 Тетевен","Тетевен, ул. Вършец №67"
"25.560801","41.943401","Shell 6003 Хасково Орфей","Хасково, бул. Васил Левски и ул. Ком"
"27.265900","44.108898","Shell 1009 Силистра","Силистра, ул. Петър Бояджиев №15Б"
"26.925301","43.272701","Shell 3024 Шумен Център","Шумен, бул. Симеон Велики №65"
"24.638100","42.198700","Shell 6005 Тракия Север","АМ Тракия, посока Бургас-София, km 118+414"
"27.469999","42.514999","Shell 3034 Бургас Зорница","Бургас, ул. Димитър Димов"
"24.730932","42.133430","Gazprom Христо Ботев","Пловдив, бул. Христо Ботев №1Б"
"23.009001","43.704201","Shell 9009 Дреновец","Дреновец, път 112, km 8+450 дясно"
"23.359509","41.391159","Shell 2010 Кулата","Кулата, на път Е79"
"23.075701","42.008099","Shell 2005 Благоевград","Благоевград, на път Е79"
"23.375900","42.647900","Shell 3020 София Младост","София, бул. Александър Малинов"
"26.944469","43.274868","Shell 6011 Шумен Стадион","Шумен, бул. Симеон Велики"
"23.879900","42.908298","Shell 4003 Правец","АМ Хемус, km 43+790 ляво"
